SampleID,sequencing_well,batch,project,field,sample_name,gps_latitude,gps_longitude,collection_day,collection_month,collection_year,year_start,date,days,crop_rotation_primary_y0,crop_rotation_companion_y0,crop_rotation_primary_y1,crop_rotation_companion_y1,crop_rotation_primary_y2,crop_rotation_companion_y2,crop_rotation_primary_y3,crop_rotation_companion_y3,crop_rotation_primary_y4,crop_rotation_companion_y4,crop_rotation_primary_y5,crop_rotation_companion_y5,wheat_cultivar,take_all_seen,take_all_evidence,take_all_time,fertiliser_use,fertiliser_use_nitrogen,fertiliser_use_phosphous,fertiliser_use_potassium,fertiliser_use_micronutrients,fertiliser_use_other,fertiliser_application_rate_monthly,fertiliser_application_rate_every_six_months,fertiliser_application_rate_yearly,fertiliser_application_rate_every_two_years,fertiliser_application_rate_every_other,manure_use,manure_application_rate_monthly,manure_application_rate_every_six_months,manure_application_rate_yearly,manure_application_rate_every_two_years,manure_application_rate_other,pesticides__insecticides_use,fungicides_use,herbicides_use,tillage,tillage_method,soil_texture,soil_ph,available_p,available_k,available_mg,available_ca,available_na,extractable_cu,extractable_zn,extractable_fe,extractable_so4,extractable_mo,extractable_mn,extractable_cu,extractable_co
1_demultiplex.bc1005--bc1065.hifi_reads,A11,1,sample,2JJ.01,2JJ.01.18,53.606472,-1.497083,8,8,2024,01/01/2024,08/08/2024,220,winter_wheat,,OSR,,wheat,,wheat,,OSR,,,,,No,N/A,not_seen,not_reported,Yes,No,No,Yes,No,No,No,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
1_demultiplex.bc1005--bc1075.hifi_reads,A12,1,sample,2AY.01,2AY.01.05,53.17379,-0.37644,7,8,2024,01/01/2024,07/08/2024,219,group_1,,oats,vetch,2nd_wheat,,group_1,,OSR,,,,Crusoe; skyscraper; crusoe,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1007--bc1033.hifi_reads,B1,1,sample,4QG.01,4QG.01.02,51.261,-0.352722,28,8,2024,01/01/2024,28/08/2024,240,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
1_demultiplex.bc1007--bc1035.hifi_reads,B2,1,sample,4QG.01,4QG.01.10,51.261,-0.352722,28,8,2024,01/01/2024,28/08/2024,240,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
1_demultiplex.bc1007--bc1044.hifi_reads,B3,1,sample,4QG.01,4QG.01.18,51.261,-0.352722,28,8,2024,01/01/2024,28/08/2024,240,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
1_demultiplex.bc1007--bc1045.hifi_reads,B4,1,sample,8JF.01,8JF.01.05,53.829639,-0.534361,5,8,2024,01/01/2024,05/08/2024,217,winter_wheat,,oilseed_rape,,winter_wheat,,winter_wheat,,oilseed_rape,,,,Common wheat/bread wheat,Yes,"Black lesions on roots,Reduced yields",Five years or more,Yes,Yes,Yes,Yes,Yes,Magnesium,No,No,No,,Variable,No,,,,,,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1007--bc1054.hifi_reads,B5,1,sample,8JF.01,8JF.01.13,53.829639,-0.534361,5,8,2024,01/01/2024,05/08/2024,217,winter_wheat,,oilseed_rape,,winter_wheat,,winter_wheat,,oilseed_rape,,,,Common wheat/bread wheat,Yes,"Black lesions on roots,Reduced yields",Five years or more,Yes,Yes,Yes,Yes,Yes,Magnesium,No,No,No,,Variable,No,,,,,,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1007--bc1056.hifi_reads,B6,1,farmer_kit,FK220,FK220,53.829639,-0.534361,5,8,2024,01/01/2024,05/08/2024,217,winter_wheat,,oilseed_rape,,winter_wheat,,winter_wheat,,oilseed_rape,,,,Common wheat/bread wheat,Yes,"Black lesions on roots,Reduced yields",Five years or more,Yes,Yes,Yes,Yes,Yes,Magnesium,No,No,No,,Variable,No,,,,,,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1007--bc1057.hifi_reads,B7,1,sample,5RJ.01,5RJ.01.08,53.217778,-0.16375,6,8,2024,01/01/2024,06/08/2024,218,group_1,,combining_peas,,group_2,,maize_forage,,spring_malting_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1007--bc1059.hifi_reads,B8,1,sample,5RJ.01,5RJ.01.16,53.217778,-0.16375,6,8,2024,01/01/2024,06/08/2024,218,group_1,,combining_peas,,group_2,,maize_forage,,spring_malting_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1007--bc1060.hifi_reads,B9,1,sample,2JJ.01,2JJ.01.03,53.606472,-1.497083,8,8,2024,01/01/2024,08/08/2024,220,winter_wheat,,OSR,,wheat,,wheat,,OSR,,,,,No,N/A,not_seen,not_reported,Yes,No,No,Yes,No,No,No,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
1_demultiplex.bc1007--bc1062.hifi_reads,B10,1,sample,2JJ.01,2JJ.01.11,53.606472,-1.497083,8,8,2024,01/01/2024,08/08/2024,220,winter_wheat,,OSR,,wheat,,wheat,,OSR,,,,,No,N/A,not_seen,not_reported,Yes,No,No,Yes,No,No,No,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
1_demultiplex.bc1007--bc1065.hifi_reads,B11,1,sample,2JJ.01,2JJ.01.19,53.606472,-1.497083,8,8,2024,01/01/2024,08/08/2024,220,winter_wheat,,OSR,,wheat,,wheat,,OSR,,,,,No,N/A,not_seen,not_reported,Yes,No,No,Yes,No,No,No,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
1_demultiplex.bc1007--bc1075.hifi_reads,B12,1,sample,2AY.01,2AY.01.06,53.17379,-0.37644,7,8,2024,01/01/2024,07/08/2024,219,group_1,,oats,vetch,2nd_wheat,,group_1,,OSR,,,,Crusoe; skyscraper; crusoe,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1008--bc1033.hifi_reads,C1,1,sample,4QG.01,4QG.01.03,51.261,-0.352722,28,8,2024,01/01/2024,28/08/2024,240,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
1_demultiplex.bc1008--bc1035.hifi_reads,C2,1,sample,4QG.01,4QG.01.11,51.261,-0.352722,28,8,2024,01/01/2024,28/08/2024,240,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
1_demultiplex.bc1008--bc1044.hifi_reads,C3,1,sample,4QG.01,4QG.01.19,51.261,-0.352722,28,8,2024,01/01/2024,28/08/2024,240,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
1_demultiplex.bc1008--bc1045.hifi_reads,C4,1,sample,8JF.01,8JF.01.06,53.829639,-0.534361,5,8,2024,01/01/2024,05/08/2024,217,winter_wheat,,oilseed_rape,,winter_wheat,,winter_wheat,,oilseed_rape,,,,Common wheat/bread wheat,Yes,"Black lesions on roots,Reduced yields",Five years or more,Yes,Yes,Yes,Yes,Yes,Magnesium,No,No,No,,Variable,No,,,,,,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1008--bc1054.hifi_reads,C5,1,sample,8JF.01,8JF.01.14,53.829639,-0.534361,5,8,2024,01/01/2024,05/08/2024,217,winter_wheat,,oilseed_rape,,winter_wheat,,winter_wheat,,oilseed_rape,,,,Common wheat/bread wheat,Yes,"Black lesions on roots,Reduced yields",Five years or more,Yes,Yes,Yes,Yes,Yes,Magnesium,No,No,No,,Variable,No,,,,,,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1008--bc1056.hifi_reads,C6,1,sample,5RJ.01,5RJ.01.01,53.217778,-0.16375,6,8,2024,01/01/2024,06/08/2024,218,group_1,,combining_peas,,group_2,,maize_forage,,spring_malting_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1008--bc1057.hifi_reads,C7,1,sample,5RJ.01,5RJ.01.09,53.217778,-0.16375,6,8,2024,01/01/2024,06/08/2024,218,group_1,,combining_peas,,group_2,,maize_forage,,spring_malting_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1008--bc1059.hifi_reads,C8,1,sample,5RJ.01,5RJ.01.17,53.217778,-0.16375,6,8,2024,01/01/2024,06/08/2024,218,group_1,,combining_peas,,group_2,,maize_forage,,spring_malting_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1008--bc1060.hifi_reads,C9,1,sample,2JJ.01,2JJ.01.04,53.606472,-1.497083,8,8,2024,01/01/2024,08/08/2024,220,winter_wheat,,OSR,,wheat,,wheat,,OSR,,,,,No,N/A,not_seen,not_reported,Yes,No,No,Yes,No,No,No,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
1_demultiplex.bc1008--bc1062.hifi_reads,C10,1,sample,2JJ.01,2JJ.01.12,53.606472,-1.497083,8,8,2024,01/01/2024,08/08/2024,220,winter_wheat,,OSR,,wheat,,wheat,,OSR,,,,,No,N/A,not_seen,not_reported,Yes,No,No,Yes,No,No,No,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
1_demultiplex.bc1008--bc1065.hifi_reads,C11,1,sample,2JJ.01,2JJ.01.20,53.606472,-1.497083,8,8,2024,01/01/2024,08/08/2024,220,winter_wheat,,OSR,,wheat,,wheat,,OSR,,,,,No,N/A,not_seen,not_reported,Yes,No,No,Yes,No,No,No,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
1_demultiplex.bc1008--bc1075.hifi_reads,C12,1,sample,2AY.01,2AY.01.07,53.17379,-0.37644,7,8,2024,01/01/2024,07/08/2024,219,group_1,,oats,vetch,2nd_wheat,,group_1,,OSR,,,,Crusoe; skyscraper; crusoe,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1012--bc1033.hifi_reads,D1,1,sample,4QG.01,4QG.01.04,51.261,-0.352722,28,8,2024,01/01/2024,28/08/2024,240,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
1_demultiplex.bc1012--bc1035.hifi_reads,D2,1,sample,4QG.01,4QG.01.12,51.261,-0.352722,28,8,2024,01/01/2024,28/08/2024,240,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
1_demultiplex.bc1012--bc1044.hifi_reads,D3,1,sample,4QG.01,4QG.01.20,51.261,-0.352722,28,8,2024,01/01/2024,28/08/2024,240,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
1_demultiplex.bc1012--bc1045.hifi_reads,D4,1,sample,8JF.01,8JF.01.07,53.829639,-0.534361,5,8,2024,01/01/2024,05/08/2024,217,winter_wheat,,oilseed_rape,,winter_wheat,,winter_wheat,,oilseed_rape,,,,Common wheat/bread wheat,Yes,"Black lesions on roots,Reduced yields",Five years or more,Yes,Yes,Yes,Yes,Yes,Magnesium,No,No,No,,Variable,No,,,,,,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1012--bc1054.hifi_reads,D5,1,sample,8JF.01,8JF.01.15,53.829639,-0.534361,5,8,2024,01/01/2024,05/08/2024,217,winter_wheat,,oilseed_rape,,winter_wheat,,winter_wheat,,oilseed_rape,,,,Common wheat/bread wheat,Yes,"Black lesions on roots,Reduced yields",Five years or more,Yes,Yes,Yes,Yes,Yes,Magnesium,No,No,No,,Variable,No,,,,,,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1012--bc1056.hifi_reads,D6,1,sample,5RJ.01,5RJ.01.02,53.217778,-0.16375,6,8,2024,01/01/2024,06/08/2024,218,group_1,,combining_peas,,group_2,,maize_forage,,spring_malting_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1012--bc1057.hifi_reads,D7,1,sample,5RJ.01,5RJ.01.10,53.217778,-0.16375,6,8,2024,01/01/2024,06/08/2024,218,group_1,,combining_peas,,group_2,,maize_forage,,spring_malting_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1012--bc1059.hifi_reads,D8,1,sample,5RJ.01,5RJ.01.18,53.217778,-0.16375,6,8,2024,01/01/2024,06/08/2024,218,group_1,,combining_peas,,group_2,,maize_forage,,spring_malting_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1012--bc1060.hifi_reads,D9,1,sample,2JJ.01,2JJ.01.05,53.606472,-1.497083,8,8,2024,01/01/2024,08/08/2024,220,winter_wheat,,OSR,,wheat,,wheat,,OSR,,,,,No,N/A,not_seen,not_reported,Yes,No,No,Yes,No,No,No,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
1_demultiplex.bc1012--bc1062.hifi_reads,D10,1,sample,2JJ.01,2JJ.01.13,53.606472,-1.497083,8,8,2024,01/01/2024,08/08/2024,220,winter_wheat,,OSR,,wheat,,wheat,,OSR,,,,,No,N/A,not_seen,not_reported,Yes,No,No,Yes,No,No,No,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
1_demultiplex.bc1012--bc1065.hifi_reads,D11,1,farmer_kit,FK215,FK215,53.606472,-1.497083,8,8,2024,01/01/2024,08/08/2024,220,winter_wheat,,OSR,,wheat,,wheat,,OSR,,,,,No,N/A,not_seen,not_reported,Yes,No,No,Yes,No,No,No,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
1_demultiplex.bc1012--bc1075.hifi_reads,D12,1,gt_control,S1,S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_demultiplex.bc1015--bc1033.hifi_reads,E1,1,sample,4QG. 01,4QG. 01.05,51.261,-0.352722,28,8,2024,01/01/2024,28/08/2024,240,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
1_demultiplex.bc1015--bc1035.hifi_reads,E2,1,sample,4QG.01,4QG.01.13,51.261,-0.352722,28,8,2024,01/01/2024,28/08/2024,240,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
1_demultiplex.bc1015--bc1044.hifi_reads,E3,1,farmer_kit,FK81,FK81,51.261,-0.352722,28,8,2024,01/01/2024,28/08/2024,240,unknown,,unknown,,unknown,,unknown,,unknown,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,unknown,unknown,,,,unknown,,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,,,,
1_demultiplex.bc1015--bc1045.hifi_reads,E4,1,sample,8JF.01,8JF.01.08,53.829639,-0.534361,5,8,2024,01/01/2024,05/08/2024,217,winter_wheat,,oilseed_rape,,winter_wheat,,winter_wheat,,oilseed_rape,,,,Common wheat/bread wheat,Yes,"Black lesions on roots,Reduced yields",Five years or more,Yes,Yes,Yes,Yes,Yes,Magnesium,No,No,No,,Variable,No,,,,,,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1015--bc1054.hifi_reads,E5,1,sample,8JF.01,8JF.01.16,53.829639,-0.534361,5,8,2024,01/01/2024,05/08/2024,217,winter_wheat,,oilseed_rape,,winter_wheat,,winter_wheat,,oilseed_rape,,,,Common wheat/bread wheat,Yes,"Black lesions on roots,Reduced yields",Five years or more,Yes,Yes,Yes,Yes,Yes,Magnesium,No,No,No,,Variable,No,,,,,,Yes,Yes,Yes,Yes,Reduced tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1015--bc1056.hifi_reads,E6,1,sample,5RJ.01,5RJ.01.03,53.217778,-0.16375,6,8,2024,01/01/2024,06/08/2024,218,group_1,,combining_peas,,group_2,,maize_forage,,spring_malting_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1015--bc1057.hifi_reads,E7,1,sample,5RJ.01,5RJ.01.11,53.217778,-0.16375,6,8,2024,01/01/2024,06/08/2024,218,group_1,,combining_peas,,group_2,,maize_forage,,spring_malting_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1015--bc1059.hifi_reads,E8,1,sample,5RJ.01,5RJ.01.19,53.217778,-0.16375,6,8,2024,01/01/2024,06/08/2024,218,group_1,,combining_peas,,group_2,,maize_forage,,spring_malting_barley,,,,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Minimum tillage,,,,,,,,,,,,,,,
1_demultiplex.bc1015--bc1060.hifi_reads,E9,1,sample,2JJ.01,2JJ.01.06,53.606472,-1.497083,8,8,2024,01/01/2024,08/08/2024,220,winter_wheat,,OSR,,wheat,,wheat,,OSR,,,,,No,N/A,not_seen,not_reported,Yes,No,No,Yes,No,No,No,250 kg/ha,,"Nitogen 3 times in the Spring (March, April, May)",,,,,,,Yes,Yes,Yes,No,No tillagae,,,,,,,,,,,,,,,
