site_name,gps_latitude,gps_longitude,collection_day,collection_month,collection_year,crop_rotation_primary_y0,crop_rotation_companion_y0,crop_rotation_primary_y1,crop_rotation_companion_y1,crop_rotation_primary_y2,crop_rotation_companion_y2,crop_rotation_primary_y3,crop_rotation_companion_y3,crop_rotation_primary_y4,crop_rotation_companion_y4,previous_wheat_cultivars,takeall_seen,takeall_evidence_description,takeall_evidence_duration,fertiliser_use,fertiliser_nitrogen ,fertiliser_phosphous,fertiliser_potassium,fertiliser_micronutrients,fertiliser_others,fertiliser_rate_monthly,fertiliser_rate_6months,fertiliser_rate_yearly,fertiliser_rate_2years,fertiliser_rate_other,manure_any,manure_rate_monthly,manure_rate_6months,manure_rate_yearly,manure_rate_2years,manure_rate_other,pesticides_insecticides,fungicides,herbicides,pest_herb_insecticides_brands,any_field_tilling,tilling_method,other_info_any,other_info_description,texture,carbon,fertility (%)
2AY.1,53.17379,-0.37644,7,8,2024,group_1,,oats,vetch,2nd_wheat,,wheat_group1,,OSR,,Crusoe; skyscraper; crusoe,N,,Zero,Y,Y,Y,Y,Y,,,,Y,,,Y,,,,Y,,Y,Y,Y,,Y,Reduced tillage,,,Peaty,Medium_High,60
2AY.2,53.17083,-0.3737,7,8,2024,group_1,,oats,vetch,2nd_wheat,,wheat_group1,,OSR,,Crusoe; skyscraper; crusoe,N,,Zero,Y,Y,Y,Y,Y,,,,Y,,,Y,,,,Y,,Y,Y,Y,,Y,Reduced tillage,,,Peaty,Medium_High,60
223,53.17227,-0.411014,7,8,2024,group_1,,oats,vetch,2nd_wheat,,wheat_group1,,OSR,,Crusoe; gravity; crusoe,N,,Zero,Y,Y,Y,Y,Y,,,,Y,,,Y,,,,Y,,Y,Y,Y,,Y,Reduced tillage,,,Loamy  ,Low,60
216,53.18858,-0.332918,7,8,2024,group_1,,oats,vetch,2nd_wheat,,vining_peas,,OSR,,Crusoe; skyscraper; ,N,,Zero,Y,Y,Y,Y,Y,,,,Y,,,Y,,,,Y,,Y,Y,Y,,Y,Reduced tillage,,,Peaty,Medium_High,60
8HQ.1,53.10016,0.04772,8,8,2024,group_2,,pre_pack,,wheat_group2,,maize,,spring_wheat,,Extase; astronomer,N,,Zero,Y,Y,Y,Y,Y,,,,Y,,,Y,,,,Y,,Y,Y,Y,,Y,Reduced tillage,,,Peaty,Medium_High,60
8HQ.2,53.11209,0.05528,8,8,2024,group_2,,pre_pack,,wheat_group2,,maize_forage,,spring_wheat,,Extase; Astronomer,N,,Zero,Y,Y,Y,Y,Y,,,,Y,,,Y,,,,Y,,Y,Y,Y,,Y,Reduced tillage,,,Peaty,Medium_High,60
225,53.10852,0.05014,8,8,2024,group_2,,pre_pack,,wheat_group2,,maize_forage,,spring_wheat,,Extase; Cranium,N,,Zero,Y,Y,Y,Y,Y,,,,Y,,,Y,,,,Y,,Y,Y,Y,,Y,Reduced tillage,,,Peaty,Medium_High,60
222,53.10782,0.05267,8,8,2024,group_2,,pre_pack,,wheat_group2,,maize_forage,,spring_wheat,,Extase; Cranium,N,,Zero,Y,Y,Y,Y,Y,,,,Y,,,Y,,,,Y,,Y,Y,Y,,Y,Reduced tillage,,,Peaty,Medium_High,60
5NQ.1,52.865968,-2.79264,27,6,2024,winter_wheat,sp_barley,winter_wheat,,spring_beans,,winter_wheat,,winter_wheat,,Common wheat/bread wheat,N,,Zero,Y,Y,N,N,Y,,,Y,,,,Y,,,,Y,,,Y,Y,Coloseum/Proclus; Finish SX; Gal-gone; Geret gold/lattitude on seed; Variano Xpro;Cyflamid; Univoc;Tebucur,N,undisclosed,Y,I have seen take all at least 10 years ago but not noticed since. We have been using Lattitude seed dressing for some 30 years on 2nd wheats,Loamy and clayey,Low,60
247,52.865968,-2.79264,27,6,2024,winter_wheat,sp_barley,winter_wheat,,spring_beans,,winter_wheat,,winter_wheat,,Common wheat/bread wheat,N,,Zero,Y,Y,N,N,Y,,,Y,,,,Y,,,,Y,,,Y,Y,Coloseum/Proclus; Finish SX; Gal-gone; Geret gold/lattitude on seed; Variano Xpro;Cyflamid; Univoc;Tebucur,N,undisclosed,Y,I have seen take all at least 10 years ago but not noticed since. We have been using Lattitude seed dressing for some 30 years on 2nd wheats,Loamy and clayey,Low,60
246,52.865968,-2.79264,27,6,2024,winter_wheat,sp_barley,winter_wheat,,spring_beans,,winter_wheat,,winter_wheat,,Common wheat/bread wheat,N,,Zero,Y,Y,N,N,Y,,,Y,,,,Y,,,,Y,,,Y,Y,Coloseum/Proclus; Finish SX; Gal-gone; Geret gold/lattitude on seed; Variano Xpro;Cyflamid; Univoc;Tebucur,N,undisclosed,Y,I have seen take all at least 10 years ago but not noticed since. We have been using Lattitude seed dressing for some 30 years on 2nd wheats,Loamy and clayey,Low,60
5RW.1,52.90557,0.561505,2,7,2024,OSR,,spring_barley,,sugar_beet,,winter_wheat,,potato,,Common wheat/bread wheat,N,,Zero,Y,Y,N,Y,Y,,Y,,,,,N,,,,,,,Y,Y,Anthem; Hurricane;Kyleo; Peacoq; Elatus Era;Revystar;Comet;Azoxystar;proline; Teb250,Y,Reduced tillage,N,,Loamy  ,Low_Medium,60
5RW.2,52.900938,0.57231,2,7,2024,OSR,,winter_barley,,winter_wheat,,sugar_beet,,winter_barley,,Common wheat/bread wheat,N,,Zero,Y,Y,N,Y,Y,,Y,,,,,N,,,,,,Y,Y,Y,Kyleo;Octavian Met; Peacoq;Teb 250;Azoxystar; Proline;Revystar;Comet;Elatus Era;Hallmark,Y,Reduced tillage,N,,Loamy  ,Low_Medium,60
109,53.314167,0.024722,23,7,2024,winter_wheat,,combining_peas,oats,winter_wheat,,winter_linseed,,winter_wheat,,Common wheat/bread wheat,Y,"Premature death,Bleaching/discolouration,Lower tillering",Five ,Y,Y,N,N,N,,,,,,3 sp. Applications totalling 190kgN/ha,Y,,,,,Composted manure 1 in 4 yrs,,Y,Y,Glyphosate predrilling; Avadex @ drilling; Crystal pre em; Zypar GS30;Vimoy; Arizona; Aviator 250 xpro; Trbucur 250; Arizona; Comet 200; Revistar; OriusP; Comet 200,N,Direct drilling ,Y,Ditect drilled for last 5yrs+; no clear evidence of early take all in 2024 though some white heads showing crop senescence    p   ,Loamy  ,Low,100
8JF.1,53.829639,-0.534361,5,8,2024,winter_wheat,,oilseed_rape,,winter_wheat,,winter_wheat,,oilseed_rape,,Common wheat/bread wheat,Y,"Black lesions on roots,Reduced yields",Five ,Y,Y,Y,Y,Y,Magnesium,,,,,Variable,N,,,,,,Y,Y,Y,Crystal;Pontos;Avocet;Boxer;CCC750;Cleancrop Alatrin Evo;Imtrex:Rylox;Carcamo;Questar;Promino300;Cleancrop Teboo,Y,Reduced tillage,Y,We have not seen effects of Take All in the standing crop. However there is asignificant drop in yield over a first wheat,Loamy  ,Low,60
46,52.857397,0.535569,19,8,2024,winter_wheat,,spring_barley,,sugar_beet,,winter_wheat,,spring_barley,,Common wheat/bread wheat,N,,Zero,Y,Y,Y,Y,,,,,Y,,,Y,,,,,every 4 years,Y,Y,Y,,Y,Reduced tillage,N,,Loamy  ,Low,60
4LQ.1,51.23002,1.23029,20,8,2024,winter_wheat,,winter_oats,,winter_wheat,,winter_wheat,,winter_beans,,Common wheat/bread wheat; Heritage wheat,N,,Zero,Y,Y,Y,Y,Y,,Y,,,,,Y,,,,,Every three years,Y,,,,N,,Y,Direct drilled,Loamy  ,Low,60
4LQ.2,51.22593,1.22016,20,8,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loamy  ,Low,60
140,,,16,8,2024,wheat,,fallow_MLS,,kale,,spring_barley,,spring_oats,,Common wheat/bread wheat,N,,Zero,Y,Y,Y,Y,,,,Y,,,As needed,Y,,Y,,,,,Y,Y,Hormones + CMPP; Te6,Y,"Ploughed, Primary Tilling",Y,"Very thin Cotswold brash, high ph",,,
127,53.364007,-0.3278301,27,8,2024,winter_wheat,,winter_wheat,,spring_barley,,oilseed_rape,,winter_wheat,,Common wheat/bread wheat,N,,Zero,Y,Y,Y,Y,Y,,,,,,"Nitrogen- March, April, May; Phosphate-March; Potassium-April",N,,,,,,,Y,Y,"Memphis, Liberaton, Bandurl; Lambastar; Tubosan; Scyon; Vimboy; Firefly; Arizona; RevyStar; Neptune",Y,Reduced tillage,N,,Loamy and clayey,Low,60
128,53.288624,-0.3307752,27,8,2024,winter_wheat,,spring_barley,,spring_barley,,spring_barley,,oilseed_rape,,Common wheat/bread wheat,N,,Zero,Y,Y,Y,Y,Y,,,,,,"Nitrogen- March, April, May; Phosphate-March; Potassium-April",N,,,,,,,Y,Y,Luxinum plus; StompAqua; Hurricane SC; Memphis; Lambastar; Tubosan; Scyon; Vimboy; Firefly; Arizona; RevyStar; Neptune,Y,Reduced tillage,N,,Loamy and clayey,Low,60
129,53.172041,-0.3064277,27,8,2024,winter_wheat,,winter_wheat,,oilseed_rape,,winter_barley,,winter_wheat,,Common wheat/bread wheat,N,,Zero,Y,Y,Y,Y,Y,,,,,,"Nitrogen- March, April, May; Phosphate-March; Potassium-April",N,,,,,,,Y,Y,Liberator; Banduri; Memphis; Lambastar; Weaved; Torledo; Scyon; Vimoy; Firefly; Poquet; Velogy ERA; Neptune,Y,Reduced tillage,,,Peaty,Medium_High,60
179,51.67664,0.25863,24,8,2024,wheat,,wheat,,oilseed_rape,,,,,,Var Palladium ,N,,Zero,Y,Y,N,N,Y,Magnesium;Manganese,,,,,240kg/Ha split in three,N,,,,,,,Y,Y,Luxinum plus for Blackgrass/ Ryegrass; Hallmark; Inatreq- Elatus Plus; Folpet- Tebuconazol and Strobilurin,Y,Direct drilling ,N,,Loamy and clayey,Low,60
180,51.76888,0.26238,1,8,2024,wheat,,wheat,,spring_barley,,,,,,Var Edgar,Y,Lower Tillering ,One,Y,Y,Y,Y,Y,Polysulphate(Sulphur/ Potash/ Magnesium/ Calcium);Manganese;Magnesium,Yes,,Y,,,N,,,,,,,,Y,Proclus + Liberatol; Jubilee 5x; Tebuconazole- Veology ERA Revystrar XE,Y,Ploughed,Y,It was more drained in 2022,Clayey_ some loamy,Low,100
34,52.103402,0.135171,19,6,2024,wheat,,oats,,sugar_beet,,wheat,,,,Common wheat/bread wheat,N,,Zero,Y,Y,N,N,N,,,,Y,,,N,,,,,,,,,,Y,Ploughed,N,,Loamy  ,Low,100
4EH.1,51.893792,-0.825926,24,6,2024,spring_wheat,,spring_beans,,winter_wheat,,spring_oats,,spring_wheat,,,N,,Zero,Y,Y,N,N,N,Sulfur,,,,Y,220Kile N/hectare; 20 kilo S/hectare,N,,,,Y,30 tons/hectare,,Y,Y,STEFCCC 720; Sillet; Bugle; Capota; Luxamum +; Parade,N,,Y,Lots of grass in fields,Loamy  ,Low,60
4EH.2,51.883353,-0.82113,24,6,2024,winter_wheat,,spring_beans,,winter_wheat,,spring_oats,,spring_oats,,,N,,Zero,Y,Y,N,N,N,Sulfur,,,,,,N,,,,,,,Y,Y,STEFCCC 720; Sillet; Bugle; Capota; Luxamum +; Parade,N,,Y,Lots of grass in fields,Loamy  ,Low,60
153,51.123643,-1.474887,17,7,2024,winter_wheat,,wheat,OSR,spring_barley,,winter_wheat,,winter_OSR,,,N,,Zero,,,N,N,N,,,,,,,N,,,,,,,,,,Y,Till drilling,,,Loamy  ,Low_Medium,60
154,51.135652,-1.437166,17,7,2024,winter_wheat,,wheat,OSR,spring_barley,,spring_barley,,winter_wheat,,,N,,Zero,,,N,N,N,,,,,,,N,,,,,,,,,,Y,Till drilling,,,Loamy  ,Low_Medium,60
155,51.126518,-1.457158,17,7,2024,winter_wheat,,grass_ley,,grass_ley,,grass_ley,,winter_wheat,,,N,,Zero,,,N,N,N,,,,,,,N,,,,,,,,,,Y,Till drilling,,,Loamy  ,Low_Medium,60
6LB.1,52.284838,-2.328044,26,6,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loamy  ,Low,40
5RA.1,50.795919,0.169297,10,7,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loamy  ,Low_Medium,60
5RA.2,50.798874,0.167721,10,7,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loamy  ,Low_Medium,60
9JG.1,50.839038,-2.088601,15,7,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loamy  ,Low_Medium,60
9JG.2,50.853376,-2.080443,15,7,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loamy  ,Low,40
9JA.1,51.368146,-2.440479,16,7,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loamy  ,Low,40
6TH.1,51.482467,-0.887181,22,7,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loamy and clayey,Medium ,60
6TH.1,51.475886,-0.894541,22,7,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loamy  ,Low,40
2JJ.1,53.606472,-1.497083,8,8,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loamy and clayey,Medium ,40
2JJ.2,53.60575,-1.501528,8,8,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loamy  ,Low,40
211,53.603583,-1.501417,8,8,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loamy  ,Low,40
212,53.605444,-1.505111,8,8,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loamy  ,Low,40
4QG.1,51.261,-0.352722,28,8,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loamy  ,Low,100
4QG.2,51.260778,-0.35475,28,8,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loamy  ,Low,10
4QG.3,51.264389,-0.35525,28,8,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loamy  ,Low_Medium,60
9HF.1,51.546639,-1.275528,26,9,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loamy  ,Low,60
